Step,PC,Prediction,Actual,Accuracy,Source
141,1001,-1,-1,0.7183098591549296,perceptron
142,1002,-1,-1,0.7202797202797203,perceptron
143,1003,-1,-1,0.7222222222222222,perceptron
144,1004,-1,-1,0.7241379310344828,perceptron
145,1000,1,-1,0.7191780821917808,loop
146,1001,-1,-1,0.7210884353741497,perceptron
147,1002,-1,-1,0.722972972972973,perceptron
148,1003,-1,-1,0.7248322147651006,perceptron
149,1004,-1,-1,0.7266666666666667,perceptron
150,1000,1,-1,0.7218543046357616,loop
151,1001,-1,-1,0.7236842105263158,perceptron
152,1002,-1,-1,0.7254901960784313,perceptron
153,1003,-1,-1,0.7272727272727273,perceptron
154,1004,-1,-1,0.7290322580645161,perceptron
155,2000,1,1,0.7307692307692307,loop
156,2000,1,1,0.732484076433121,loop
157,2000,1,1,0.7341772151898734,loop
158,2000,-1,1,0.7295597484276729,loop
159,2000,-1,-1,0.73125,loop
160,2000,1,1,0.7329192546583851,loop
161,2000,1,1,0.7345679012345679,loop
162,2000,1,1,0.7361963190184049,loop
163,2000,-1,1,0.7317073170731707,loop
164,2000,-1,-1,0.7333333333333333,loop
165,2000,1,1,0.7349397590361446,loop
166,2000,1,1,0.7365269461077845,loop
167,2000,1,1,0.7380952380952381,loop
168,2000,-1,1,0.7337278106508875,loop
169,2000,-1,-1,0.7352941176470589,loop
170,2000,1,1,0.7368421052631579,loop
171,2000,1,1,0.7383720930232558,loop
172,2000,1,1,0.7398843930635838,loop
173,2000,-1,1,0.735632183908046,loop
174,2000,-1,-1,0.7371428571428571,loop
175,2000,1,1,0.7386363636363636,loop
176,2000,1,1,0.7401129943502824,loop
177,2000,1,1,0.7415730337078652,loop
178,2000,-1,1,0.7374301675977654,loop
179,2000,-1,-1,0.7388888888888889,loop
180,3000,1,1,0.7403314917127072,perceptron
181,3001,1,1,0.7417582417582418,perceptron
182,3002,1,1,0.7431693989071039,perceptron
183,3000,1,1,0.7445652173913043,perceptron
184,3001,1,1,0.745945945945946,perceptron
185,3002,1,1,0.7473118279569892,perceptron
186,3000,1,1,0.7486631016042781,perceptron
187,3001,1,1,0.75,perceptron
188,3002,1,1,0.7513227513227513,perceptron
189,3000,1,1,0.7526315789473684,perceptron
190,4034,-1,-1,0.7539267015706806,perceptron
191,4090,-1,1,0.75,perceptron
192,4047,1,-1,0.7461139896373057,perceptron
193,4002,-1,-1,0.7474226804123711,perceptron
